transcript,role,responses,input_uncached,cache_write,cache_read,reported_output_partial,input_total_not_billing_units
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c.jsonl,orchestrator,183,372,558387,81619992,174776,82178751
-Volumes-KINGSTON-PycharmProjects-pdffiller-ai-assistant/2f3707a7-60ed-478c-bf35-61d14d290838.jsonl,orchestrator,194,394,1075406,41970133,148204,43045933
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d.jsonl,orchestrator,53,106,604927,15059559,49528,15664592
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a3e7b14c6bca84a71.jsonl,subagent,95,190,213818,14662410,2542,14876418
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-aac7dade0b4833368.jsonl,subagent,78,162,499808,11726578,8996,12226548
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a9804015851f4b535.jsonl,subagent,76,154,294279,10456803,7333,10751236
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-aedae11edfbcc3275.jsonl,subagent,69,138,194625,9871403,2876,10066166
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/workflows/wf_bdd8e184-62a/agent-a9def0fa9da64a9e0.jsonl,subagent,54,108,158907,7478023,3206,7637038
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a7eb3b867b21055ad.jsonl,subagent,53,106,146071,6908305,6258,7054482
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a01c3271aa0cfe9aa.jsonl,subagent,53,106,176621,6277778,1210,6454505
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-af346794fa0f6e963.jsonl,subagent,57,114,106099,6296505,5925,6402718
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a1722a851c23acd86.jsonl,subagent,59,118,102496,6199758,2687,6302372
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/workflows/wf_2d5d46a3-558/agent-a8e8ce9a4d2e99651.jsonl,subagent,49,98,153869,5931484,4859,6085451
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/workflows/wf_6e263d19-513/agent-a2895a6ec85d22256.jsonl,subagent,46,92,159077,5723578,1839,5882747
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/workflows/wf_ab8600d2-0c5/agent-a893581b77d95fa9d.jsonl,subagent,43,86,146536,5383357,2518,5529979
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/workflows/wf_bcff7300-967/agent-a3691a414c66e912f.jsonl,subagent,45,90,138000,5000754,4080,5138844
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a1e92d220f9a74ca0.jsonl,subagent,45,90,127963,4838912,3285,4966965
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/workflows/wf_f4117dc3-7ce/agent-ac01bf34034eee8fa.jsonl,subagent,49,98,97698,4684081,1948,4781877
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-ac3064d6c54c302eb.jsonl,subagent,40,80,159444,4516774,615,4676298
-Volumes-KINGSTON-PycharmProjects-pdffiller-ai-assistant/2f3707a7-60ed-478c-bf35-61d14d290838/subagents/agent-ae8988ed26cd7f032.jsonl,subagent,45,90,135282,4344795,7567,4480167
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a9945126162ab5cc6.jsonl,subagent,34,68,162414,3717279,151,3879761
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a2f96e56f8b2c5e48.jsonl,subagent,29,60,102350,3136894,7249,3239304
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-ac4e1c01b2f609694.jsonl,subagent,29,58,134205,3090356,126,3224619
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a6b4852b248699170.jsonl,subagent,29,58,129941,3052776,134,3182775
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a2a868b16751b326a.jsonl,subagent,30,62,102148,2977108,788,3079318
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a40cd5ece97620fd6.jsonl,subagent,24,48,124316,2625582,3589,2749946
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/workflows/wf_f4117dc3-7ce/agent-a2bb58b5bfd524a16.jsonl,subagent,27,56,109290,2495903,6730,2605249
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a8973cb14bb3849de.jsonl,subagent,22,44,117922,2331604,608,2449570
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-aa30f2b877d2a03b9.jsonl,subagent,21,42,131113,2240543,630,2371698
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a74abbebf7945a666.jsonl,subagent,23,46,109561,2233083,583,2342690
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-ac9bdbd3f9beb492e.jsonl,subagent,22,44,104301,2042446,2916,2146791
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-aecc1730648c9b27f.jsonl,subagent,22,44,84622,1963713,1799,2048379
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a16cd4787230df8c5.jsonl,subagent,20,40,127787,1763369,304,1891196
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a4e69f465036c9cfa.jsonl,subagent,18,36,99521,1648322,526,1747879
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a0ee669c18a28750f.jsonl,subagent,16,32,121390,1527849,2994,1649271
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a20a8ecb75f73d071.jsonl,subagent,20,40,96709,1544788,952,1641537
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-afd99fee9af56c4ea.jsonl,subagent,16,32,86127,1484273,1068,1570432
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-ac4ffc4843e443a22.jsonl,subagent,18,36,84189,1433420,1802,1517645
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a3b862bd584bfdb31.jsonl,subagent,15,32,74673,1429078,639,1503783
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a74c744bec1f3d505.jsonl,subagent,14,28,114015,1248971,2316,1363014
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-ad89693183b2502a4.jsonl,subagent,14,28,113816,1246407,2423,1360251
-Volumes-KINGSTON-PhpstormProjects-jsfiller/c21dee7c-61f1-4d06-a488-f9d85a54952d/subagents/workflows/wf_9d84a8b6-bf8/agent-a66f13210158b3a5f.jsonl,subagent,16,32,101650,1222175,1035,1323857
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a9b7044a1df68c7ec.jsonl,subagent,14,28,109613,1203217,2402,1312858
-Volumes-KINGSTON-claude-shipyard/89d38e47-8750-4279-a287-61bd806bab4c/subagents/agent-a1ee62070890006ba.jsonl,subagent,14,28,112436,1197623,266,1310087
